avg_words_per_sentence,avg_sentence_len,avg_word_len,avg_syllable_per_word
1.0,7.0,7.0,2.0
5.0,29.0,5.8,2.2
8.0,35.0,4.375,1.75
9.0,45.0,5.0,2.0
3.0,23.0,7.666666666666667,2.6666666666666665
8.0,46.0,5.75,2.0
4.0,14.0,3.5,1.25
8.0,50.0,6.25,2.25
4.0,29.0,7.25,2.75
6.0,39.0,6.5,2.3333333333333335
14.0,59.0,4.214285714285714,1.4285714285714286
4.0,19.0,4.75,1.75
2.0,13.0,6.5,2.0
5.0,39.0,7.8,2.6
6.0,31.0,5.166666666666667,2.0
7.0,54.0,7.714285714285714,3.0
1.0,6.0,6.0,2.0
5.0,26.0,5.2,2.2
6.0,33.0,5.5,2.1666666666666665
7.0,42.0,6.0,2.142857142857143
3.0,16.0,5.333333333333333,2.3333333333333335
7.0,42.0,6.0,2.2857142857142856
3.0,25.0,8.333333333333334,3.3333333333333335
5.0,25.0,5.0,2.0
4.0,27.0,6.75,2.5
5.0,30.0,6.0,2.2
7.0,37.0,5.285714285714286,2.142857142857143
5.0,35.0,7.0,3.0
7.0,45.0,6.428571428571429,2.2857142857142856
3.0,26.0,8.666666666666666,3.0
6.0,36.0,6.0,2.3333333333333335
3.0,22.0,7.333333333333333,3.0
1.0,6.0,6.0,2.0
3.0,27.0,9.0,3.6666666666666665
4.0,38.0,9.5,4.0
6.0,37.0,6.166666666666667,2.3333333333333335
3.0,16.0,5.333333333333333,1.8333333333333333
6.0,39.0,6.5,2.6666666666666665
2.0,12.5,6.25,2.5
4.0,22.0,5.5,2.25
4.0,28.0,7.0,2.25
7.0,47.0,6.714285714285714,2.7142857142857144
1.0,6.0,6.0,2.0
4.0,24.0,6.0,2.25
5.0,31.0,6.2,2.6
6.0,36.0,6.0,2.5
4.0,31.0,7.75,2.75
3.0,20.0,6.666666666666667,2.3333333333333335
4.0,27.0,6.75,2.0
7.0,34.0,4.857142857142857,1.8571428571428572
4.0,27.0,6.75,2.625
3.5,25.0,7.142857142857143,2.7142857142857144
3.0,20.0,6.666666666666667,2.3333333333333335
8.0,41.0,5.125,2.125
13.0,64.0,4.923076923076923,1.9230769230769231
6.0,31.0,5.166666666666667,2.0
9.0,53.0,5.888888888888889,2.111111111111111
6.0,30.0,5.0,2.0
7.0,34.0,4.857142857142857,1.7142857142857142
5.0,16.0,3.2,1.2
8.0,44.0,5.5,2.0
8.0,53.0,6.625,2.5
10.0,49.0,4.9,1.9
15.0,65.0,4.333333333333333,1.6
3.0,15.0,5.0,1.6666666666666667
5.0,34.0,6.8,2.6
11.0,75.0,6.818181818181818,2.8181818181818183
5.0,39.0,7.8,3.0
6.0,37.0,6.166666666666667,2.5
4.5,24.5,5.444444444444445,2.111111111111111
4.0,23.0,5.75,2.0
2.0,12.0,6.0,2.0
11.0,57.0,5.181818181818182,1.9090909090909092
9.0,52.0,5.777777777777778,2.111111111111111
5.0,32.0,6.4,2.4
2.0,8.0,4.0,1.5
8.0,41.0,5.125,1.9375
10.0,55.0,5.5,2.2
4.0,24.0,6.0,2.0
9.0,51.0,5.666666666666667,2.2222222222222223
3.5,23.0,6.571428571428571,2.142857142857143
4.333333333333333,21.333333333333332,4.923076923076923,1.7692307692307692
8.0,58.0,7.25,2.875
4.0,27.0,6.75,2.5
10.0,55.0,5.5,2.1
6.0,51.0,8.5,3.3333333333333335
7.0,46.0,6.571428571428571,2.7142857142857144
6.0,41.0,6.833333333333333,2.6666666666666665
9.0,58.0,6.444444444444445,2.4444444444444446
14.0,85.0,6.071428571428571,2.2857142857142856
4.0,31.0,7.75,3.25
5.0,46.0,9.2,3.2
15.0,98.0,6.533333333333333,2.466666666666667
8.0,47.0,5.875,2.5
4.0,32.0,8.0,3.0
7.0,55.0,7.857142857142857,2.857142857142857
9.0,42.0,4.666666666666667,2.111111111111111
5.0,27.0,5.4,2.1
6.5,40.0,6.153846153846154,2.230769230769231
9.0,63.0,7.0,2.888888888888889
6.0,41.0,6.833333333333333,2.6666666666666665
8.0,47.0,5.875,2.5
14.0,58.0,4.142857142857143,1.7857142857142858
6.0,34.0,5.666666666666667,2.1666666666666665
9.0,59.0,6.555555555555555,2.4444444444444446
10.0,77.0,7.7,3.1
3.0,22.0,7.333333333333333,3.0
7.0,41.0,5.857142857142857,2.2857142857142856
14.0,81.0,5.785714285714286,2.357142857142857
8.0,42.0,5.25,2.25
5.5,39.0,7.090909090909091,2.727272727272727
4.0,22.0,5.5,2.0
3.0,24.0,8.0,2.6666666666666665
4.0,27.0,6.75,2.5
5.0,24.0,4.8,2.2
8.0,37.0,4.625,1.875
5.0,30.0,6.0,2.2
7.0,30.0,4.285714285714286,1.7142857142857142
5.0,27.0,5.4,2.0
5.0,25.0,5.0,1.8
4.0,31.0,7.75,2.75
12.0,69.0,5.75,2.25
5.0,30.0,6.0,2.2
4.0,20.0,5.0,2.0
6.0,25.0,4.166666666666667,1.5
10.0,48.0,4.8,2.1
5.0,22.0,4.4,1.7
10.0,58.0,5.8,2.4
7.0,39.0,5.571428571428571,2.0714285714285716
8.0,41.0,5.125,2.125
5.0,28.0,5.6,2.2
5.0,27.0,5.4,2.2
3.0,15.0,5.0,2.3333333333333335
3.0,26.0,8.666666666666666,3.3333333333333335
6.0,43.0,7.166666666666667,3.1666666666666665
6.0,38.0,6.333333333333333,2.5
4.0,19.0,4.75,2.0
8.0,59.0,7.375,3.125
9.0,51.0,5.666666666666667,2.4444444444444446
5.0,29.0,5.8,2.4
9.0,64.0,7.111111111111111,2.7777777777777777
5.0,27.0,5.4,2.0
7.0,46.0,6.571428571428571,2.4285714285714284
5.0,29.0,5.8,2.2
5.0,28.0,5.6,2.2
3.5,18.5,5.285714285714286,1.8571428571428572
8.0,39.0,4.875,1.75
5.0,31.0,6.2,2.6
3.0,14.0,4.666666666666667,2.0
5.0,25.0,5.0,2.0
6.0,35.0,5.833333333333333,2.0
2.5,17.0,6.8,2.2
5.0,31.0,6.2,2.6
5.0,28.0,5.6,2.6
9.0,55.0,6.111111111111111,2.4444444444444446
7.0,40.0,5.714285714285714,2.4285714285714284
10.0,48.0,4.8,2.0
12.0,55.0,4.583333333333333,1.9166666666666667
7.0,39.0,5.571428571428571,2.2857142857142856
6.0,38.0,6.333333333333333,2.1666666666666665
4.0,35.0,8.75,3.5
5.0,28.0,5.6,2.0
4.5,27.5,6.111111111111111,2.4444444444444446
7.0,30.0,4.285714285714286,1.5714285714285714
3.0,20.0,6.666666666666667,2.3333333333333335
5.0,34.0,6.8,3.0
7.0,36.0,5.142857142857143,2.0
7.0,39.0,5.571428571428571,2.2857142857142856
3.0,20.0,6.666666666666667,2.3333333333333335
2.0,18.0,9.0,3.0
5.0,37.0,7.4,3.0
8.0,45.0,5.625,2.125
2.0,15.0,7.5,3.0
4.0,30.0,7.5,3.0
11.0,68.0,6.181818181818182,2.272727272727273
6.0,38.0,6.333333333333333,2.6666666666666665
6.0,29.0,4.833333333333333,1.6666666666666667
16.0,91.0,5.6875,2.3125
4.0,27.0,6.75,2.75
12.0,64.0,5.333333333333333,2.0
5.0,26.0,5.2,2.0
11.0,54.0,4.909090909090909,2.090909090909091
9.0,59.0,6.555555555555555,2.6666666666666665
9.0,56.0,6.222222222222222,2.6666666666666665
7.0,58.0,8.285714285714286,3.142857142857143
9.0,43.0,4.777777777777778,1.5555555555555556
5.0,28.0,5.6,2.4
8.0,35.0,4.375,1.625
5.0,33.0,6.6,2.6
2.0,18.0,9.0,3.0
5.0,33.0,6.6,2.8
9.0,62.0,6.888888888888889,2.7777777777777777
8.0,60.0,7.5,3.125
8.0,50.0,6.25,2.625
11.0,57.0,5.181818181818182,2.090909090909091
6.0,54.0,9.0,3.6666666666666665
12.0,67.0,5.583333333333333,2.0833333333333335
4.0,36.0,9.0,3.5
5.0,46.0,9.2,3.6
6.0,33.0,5.5,2.0
5.0,30.0,6.0,2.6
4.0,40.0,10.0,4.0
4.0,26.0,6.5,2.5
7.0,26.0,3.7142857142857144,1.5714285714285714
3.0,18.0,6.0,2.0
8.0,54.0,6.75,2.5
6.0,45.0,7.5,2.5
6.0,33.0,5.5,2.0
7.0,38.0,5.428571428571429,1.8571428571428572
5.0,38.0,7.6,3.0
7.0,47.0,6.714285714285714,2.4285714285714284
4.0,24.0,6.0,2.25
8.0,42.0,5.25,1.875
7.0,41.0,5.857142857142857,2.5714285714285716
5.0,29.0,5.8,2.4
8.0,59.0,7.375,2.875
5.0,31.0,6.2,2.2
6.0,26.0,4.333333333333333,1.6666666666666667
6.0,32.0,5.333333333333333,2.1666666666666665
11.0,59.0,5.363636363636363,2.0
5.0,35.0,7.0,2.6
8.0,54.0,6.75,2.625
6.0,47.0,7.833333333333333,3.3333333333333335
5.0,37.0,7.4,3.0
7.0,64.0,9.142857142857142,3.4285714285714284
7.0,42.0,6.0,2.2857142857142856
4.0,33.5,8.375,3.0
8.0,48.0,6.0,2.25
7.0,56.0,8.0,3.0
6.0,36.0,6.0,2.1666666666666665
7.0,33.0,4.714285714285714,1.7142857142857142
8.0,47.0,5.875,2.125
5.0,25.0,5.0,1.6
5.0,42.0,8.4,3.2
8.0,42.0,5.25,1.875
4.0,28.0,7.0,2.0
5.0,31.0,6.2,2.4
5.0,39.0,7.8,3.0
3.0,18.0,6.0,2.3333333333333335
4.0,28.0,7.0,2.5
13.0,64.0,4.923076923076923,1.7692307692307692
5.0,28.0,5.6,2.2
6.0,48.0,8.0,2.6666666666666665
3.0,10.0,3.3333333333333335,1.3333333333333333
5.0,28.0,5.6,2.0
7.0,40.0,5.714285714285714,2.4285714285714284
9.0,49.0,5.444444444444445,2.3333333333333335
5.0,30.0,6.0,2.2
10.0,54.0,5.4,1.9
6.0,52.0,8.666666666666666,3.1666666666666665
12.0,57.0,4.75,1.8333333333333333
6.0,31.0,5.166666666666667,1.8333333333333333
5.0,24.0,4.8,1.6
13.0,57.0,4.384615384615385,1.6153846153846154
4.0,21.0,5.25,2.5
5.0,19.0,3.8,1.4
6.0,37.0,6.166666666666667,2.3333333333333335
5.0,24.0,4.8,1.8
7.0,30.0,4.285714285714286,1.5714285714285714
5.0,32.0,6.4,2.2
11.0,60.0,5.454545454545454,2.0
4.0,21.0,5.25,1.75
4.0,19.0,4.75,2.0
11.0,53.0,4.818181818181818,1.8181818181818181
5.0,34.0,6.8,2.6
7.0,56.0,8.0,2.857142857142857
4.0,31.0,7.75,3.0
6.0,27.0,4.5,1.5
8.0,57.0,7.125,2.75
5.0,30.0,6.0,2.4
9.0,71.0,7.888888888888889,2.888888888888889
7.0,36.0,5.142857142857143,1.8571428571428572
5.0,31.0,6.2,2.2
5.0,35.0,7.0,3.0
10.0,45.0,4.5,1.7
5.0,30.0,6.0,2.2
5.0,29.0,5.8,2.0
7.0,43.0,6.142857142857143,2.142857142857143
5.0,26.0,5.2,2.0
5.0,35.0,7.0,2.0
9.0,49.0,5.444444444444445,2.111111111111111
5.0,35.0,7.0,2.6
5.0,31.0,6.2,2.2
7.0,46.0,6.571428571428571,3.0
6.0,34.0,5.666666666666667,2.1666666666666665
6.0,23.0,3.8333333333333335,1.5
11.0,72.0,6.545454545454546,2.6363636363636362
5.5,31.5,5.7272727272727275,2.1818181818181817
6.0,37.0,6.166666666666667,2.6666666666666665
5.0,29.5,5.9,2.1
7.0,31.0,4.428571428571429,2.0
4.0,27.0,6.75,2.75
4.0,25.0,6.25,2.25
11.0,66.0,6.0,2.272727272727273
8.0,38.0,4.75,2.0
7.0,35.0,5.0,2.142857142857143
5.0,29.0,5.8,2.0
10.0,58.0,5.8,2.3
5.0,30.0,6.0,2.2
5.0,41.0,8.2,3.0
8.0,50.0,6.25,2.375
7.0,39.0,5.571428571428571,2.0
6.0,40.5,6.75,2.25
7.0,39.0,5.571428571428571,2.142857142857143
4.0,29.0,7.25,2.75
6.0,43.0,7.166666666666667,2.8333333333333335
5.0,33.0,6.6,2.7
6.0,46.0,7.666666666666667,3.1666666666666665
9.0,59.0,6.555555555555555,2.7777777777777777
7.0,45.0,6.428571428571429,2.5714285714285716
8.0,48.0,6.0,2.5
4.0,25.0,6.25,2.25
6.0,36.0,6.0,2.1666666666666665
13.0,64.0,4.923076923076923,1.9230769230769231
6.0,40.0,6.666666666666667,2.3333333333333335
6.0,50.0,8.333333333333334,3.1666666666666665
5.0,36.0,7.2,2.6
5.0,32.0,6.4,2.2
6.0,49.0,8.166666666666666,3.5
13.0,77.0,5.923076923076923,2.5384615384615383
4.0,25.0,6.25,2.75
6.0,34.0,5.666666666666667,2.3333333333333335
3.0,25.0,8.333333333333334,3.0
6.0,28.0,4.666666666666667,1.8333333333333333
5.0,35.0,7.0,2.6
6.0,40.0,6.666666666666667,2.5
3.0,17.0,5.666666666666667,1.6666666666666667
13.0,69.0,5.3076923076923075,2.230769230769231
5.0,30.0,6.0,2.6
6.0,43.0,7.166666666666667,2.5
